Employee_number,Employee_name,Employee_age,Maritial_Status,Current_Salary,Number_of_Children,years_experience,past_projects,current_projects,Divorced_earlier,Father_alive,Mother_alive,performance_rating,Education_level,Department,Role,Job_Satisfaction,Work_Life_Balance,is_outlier
10023,Sarah Kumar,27,True,59545,0,4,12,1,No,Yes,No,3,High School,Sales,Sales Manager,8.590891437080412,1.0,0
10024,Olivia Patel,24,True,68934,0,0,11,3,No,Yes,Yes,2,Master's,Operations,Ops Manager,10.0,2.710460859960279,0
10025,Priya Iyer,32,True,86240,1,5,0,3,Yes,Yes,Yes,3,Bachelor's,Sales,Account Executive,8.315420126845249,1.5508226302449808,0
10026,Luke Iyer,29,True,38830,2,4,1,0,No,Yes,Yes,3,Diploma,R&D,Researcher,10.0,2.013089276929639,0
10027,Nina Walker,39,True,30000,0,16,13,3,No,Yes,No,3,Bachelor's,Operations,Operations Coordinator,8.783304508871367,1.0,0
10028,Arun Gupta,30,True,49929,0,0,12,1,No,Yes,Yes,3,PhD,Support,Customer Specialist,5.550495096032195,1.5818773316021977,0
10029,Luke Kumar,25,True,72047,0,0,12,3,No,Yes,Yes,1,Bachelor's,Operations,Operations Coordinator,9.846964492885617,2.886913545495877,0
10030,David Johnson,18,True,30000,1,0,7,2,No,Yes,Yes,2,Master's,Support,Customer Specialist,1.0,2.1890437071671065,0
10031,Michael Thomas,33,False,30000,1,0,8,3,No,Yes,Yes,1,Bachelor's,Engineering,Software Engineer,1.0,8.987148566503823,0
10032,Leo Kumar,35,True,69086,0,7,11,3,No,Yes,Yes,5,Diploma,Support,Customer Specialist,8.388387975105948,2.5476398667294964,0
10033,Sophia Singh,42,False,86983,1,15,14,1,No,Yes,Yes,3,Bachelor's,Support,Customer Specialist,10.0,2.9234919653378038,0
10034,Nina Gupta,39,True,32949,3,10,8,1,No,Yes,No,4,High School,R&D,Researcher,8.630366498364648,1.0,0
10035,Arun Sharma,25,True,41701,3,0,6,2,No,No,Yes,2,Bachelor's,Operations,Operations Coordinator,1.0,6.490945122664328,0
10036,Aisha Johnson,42,True,53726,1,6,0,0,Yes,No,No,3,High School,Engineering,ML Engineer,10.0,3.1776738034893652,0
10037,Priya Walker,35,False,64098,3,7,5,3,No,Yes,Yes,2,Diploma,Engineering,DevOps Engineer,9.659721234829355,1.653841128487755,0
10038,Daniel Thompson,31,True,33006,2,4,7,3,No,Yes,Yes,5,Master's,Engineering,Software Engineer,10.0,9.440167820879106,0
10039,John Sharma,40,True,98289,0,10,14,0,No,Yes,Yes,4,Bachelor's,Engineering,Software Engineer,5.609927768522832,10.0,0
10040,Sarah Sharma,36,False,73874,2,12,6,3,No,Yes,Yes,4,Master's,Sales,Sales Manager,2.698316812720627,6.258243705165171,0
10041,Ananya Thomas,33,False,30000,1,1,11,0,No,No,Yes,3,Master's,Sales,Sales Manager,10.0,2.546210839205215,0
10042,Daniel Taylor,36,True,69094,2,14,14,2,Yes,Yes,Yes,5,High School,Support,Customer Specialist,6.33235543835292,3.043529119099828,0
10043,Kiran Sharma,27,True,52025,1,6,5,0,No,Yes,Yes,4,Master's,Support,Customer Specialist,1.700926038170321,10.0,0
10044,Karen Miller,43,False,119795,0,17,0,0,No,Yes,No,5,Bachelor's,Finance,Analyst,9.084055423241981,5.124423529050637,0
10045,Daniel Davis,42,True,68248,1,17,4,1,No,Yes,Yes,3,High School,R&D,Researcher,10.0,7.596960468345053,0
10046,Priya Williams,21,True,30000,2,0,1,1,No,No,Yes,3,Bachelor's,Finance,Analyst,1.0,9.574432474016326,0
10047,Priya Anderson,49,True,68243,0,15,12,0,No,Yes,Yes,4,Diploma,R&D,Researcher,10.0,1.8444406459020506,0
10048,Vikram Davis,32,True,66711,0,3,9,0,No,Yes,Yes,2,High School,Support,Support Engineer,10.0,1.1681084865769353,0
10049,Michael Singh,37,False,30000,1,4,6,0,No,Yes,No,2,Bachelor's,Support,Support Engineer,2.367191435429831,5.494506089024744,0
10050,Linda Smith,35,False,36137,3,13,9,0,No,Yes,Yes,2,High School,Sales,Sales Manager,2.475455421728128,2.3516097300978163,0
10051,Sophia Wilson,36,True,62222,2,11,8,1,No,Yes,Yes,5,Diploma,Operations,Operations Coordinator,10.0,1.0,0
10052,David Gupta,28,True,110947,1,4,3,1,No,Yes,Yes,5,Bachelor's,Support,Support Engineer,10.0,1.5868632254442918,0
10053,Michael Singh,35,False,138495,1,0,7,3,No,Yes,Yes,2,Bachelor's,HR,HR Executive,10.0,8.715227680335111,0
10054,Rohit Davis,18,True,72303,0,0,7,3,No,Yes,No,2,Master's,HR,HR Manager,10.0,7.325804419277107,0
10055,Nina Lewis,26,True,60157,0,0,14,2,No,Yes,Yes,5,Bachelor's,Operations,Ops Manager,4.5344690797409335,8.141231057624061,0
10056,Vikram Thompson,40,False,30000,3,16,6,0,No,Yes,Yes,3,High School,Engineering,DevOps Engineer,2.8041234060531455,2.3318662744014227,0
10057,Arun Thompson,33,True,30000,3,0,9,0,No,Yes,Yes,4,High School,Engineering,ML Engineer,6.027300799324308,5.003520658334905,0
10058,Emily Kumar,36,True,30000,3,0,2,2,No,Yes,Yes,5,Bachelor's,Support,Customer Specialist,5.777576782839612,3.97184590490142,0
10059,Sarah Sharma,47,False,30000,0,25,7,3,No,Yes,No,2,Bachelor's,Sales,Account Executive,1.567603899597012,3.2416061051565226,0
10060,Aisha Thomas,25,False,54988,0,1,1,1,No,Yes,No,4,Bachelor's,R&D,Scientist,10.0,3.3320729613744273,0
10061,Kiran Wilson,23,True,32108,3,0,13,1,Yes,Yes,Yes,3,Bachelor's,Finance,Analyst,1.608453805059428,1.727501841540441,0
10062,Michael Lewis,37,True,41020,0,5,11,1,No,Yes,No,4,PhD,Finance,Analyst,1.674603062007428,2.5219213749149434,0
10063,Rohit Brown,33,True,54846,0,6,14,2,No,Yes,Yes,2,Bachelor's,Support,Customer Specialist,2.3381891494174116,5.045490700949728,0
10064,Olivia Singh,29,True,42816,3,7,10,2,No,Yes,Yes,3,Master's,Support,Customer Specialist,4.154073305925582,2.2937868367345207,0
10065,Emily Iyer,30,True,30000,0,3,10,2,No,Yes,Yes,3,Bachelor's,R&D,Researcher,3.095318503086626,1.0,0
10066,Arun Johnson,36,True,32995,1,9,13,3,No,Yes,No,4,Diploma,Engineering,DevOps Engineer,4.468580805100895,3.3617704952671663,0
10067,Rohit Williams,32,True,42365,3,10,0,2,No,No,Yes,5,Bachelor's,Operations,Ops Manager,10.0,4.319313839079494,0
10068,Vikram Thomas,40,False,30000,0,9,0,0,No,Yes,Yes,3,Bachelor's,R&D,Researcher,6.5190053159590695,1.8154094121574023,0
10069,Michael Thomas,37,True,59673,1,13,6,1,No,Yes,No,3,High School,R&D,Researcher,8.182026645780855,2.0799595440613494,0
10070,Linda Patel,30,True,54541,1,0,9,3,Yes,Yes,Yes,2,Bachelor's,Operations,Operations Coordinator,10.0,1.2722426795871344,0
10071,Linda Kumar,38,True,57510,1,0,7,3,No,Yes,Yes,4,Bachelor's,Sales,Sales Manager,8.123838350499437,2.5432900451222884,0
10072,Sarah Singh,50,False,97811,1,27,7,1,No,Yes,Yes,1,High School,Support,Customer Specialist,10.0,10.0,0
10073,John Wilson,41,True,30000,1,10,7,0,No,Yes,Yes,4,Bachelor's,Sales,Sales Manager,10.0,7.556147998833566,0
10074,Rohit Iyer,47,True,41242,0,21,0,1,No,Yes,Yes,2,High School,R&D,Researcher,8.68087700317896,1.4495566903527948,0
10075,David Taylor,27,True,30000,0,1,13,1,Yes,Yes,Yes,5,Bachelor's,Sales,Account Executive,3.38259300307249,10.0,0
10076,Ananya Gupta,36,True,30000,2,13,12,2,Yes,Yes,Yes,2,Bachelor's,Support,Customer Specialist,6.525157607622121,7.54092746183333,0
10077,Sophia Johnson,18,False,95372,3,0,2,3,No,Yes,Yes,3,High School,Sales,Account Executive,5.780774092998028,5.992463139058781,0
10078,Vikram Williams,32,False,48633,1,11,7,1,No,Yes,Yes,5,Bachelor's,Finance,Senior Analyst,4.7806029855852366,7.942325452462149,0
10079,Emily Taylor,21,False,67879,0,0,0,2,No,Yes,Yes,3,Master's,Support,Support Engineer,10.0,7.0298793110053035,0
10080,Linda Davis,39,False,101856,0,10,9,2,Yes,Yes,No,4,Bachelor's,Operations,Operations Coordinator,10.0,8.246904445917389,0
10081,Ananya Patel,32,True,35614,0,8,0,0,Yes,Yes,Yes,3,Diploma,HR,HR Executive,8.005381290125264,3.0533220566694226,0
10082,Vikram Taylor,38,False,67354,0,17,6,2,Yes,Yes,No,4,Master's,HR,HR Executive,10.0,5.251053582852435,0
10083,David Smith,29,True,42908,2,4,0,2,No,Yes,Yes,2,Diploma,Operations,Ops Manager,2.2950133910037156,4.79226313987634,0
10084,Luke Johnson,41,False,50550,0,19,1,1,No,No,No,2,Bachelor's,Engineering,ML Engineer,9.280011037918586,7.442894834579614,0
10085,Vikram Smith,46,False,54302,0,23,5,2,No,No,Yes,1,High School,Finance,Analyst,7.677290582134326,1.0,0
10086,Olivia Johnson,32,True,30000,2,4,10,3,No,Yes,No,2,High School,Sales,Sales Manager,5.538140179170008,6.728731923701208,0
10087,Leo Davis,40,False,71466,0,15,1,2,No,Yes,Yes,4,Bachelor's,Support,Support Engineer,5.601417451663366,5.839478570619169,0
10088,Leo Singh,45,True,55577,0,17,14,3,No,Yes,Yes,4,High School,Support,Customer Specialist,10.0,2.518600137646977,0
10089,Vikram Johnson,30,True,38349,1,6,0,2,No,Yes,Yes,4,High School,HR,HR Executive,10.0,2.7405367804678695,0
10090,Emily Miller,34,True,48688,2,11,10,0,No,No,Yes,4,High School,Finance,Analyst,7.627206892024908,3.343254839668043,0
10091,David Williams,36,False,30000,1,3,9,2,No,Yes,Yes,4,Bachelor's,Operations,Ops Manager,2.941992700854069,1.2131954691185252,0
10092,Ananya Thompson,43,False,46184,0,12,13,1,No,No,Yes,2,Master's,Operations,Operations Coordinator,7.610751518387618,1.0,0
10093,John Miller,25,True,60336,1,0,0,0,No,Yes,Yes,4,Diploma,Operations,Operations Coordinator,8.372735443833761,5.562014467674736,0
10094,Aisha Singh,36,True,109415,1,15,8,0,No,Yes,Yes,4,Bachelor's,Sales,Account Executive,7.271896890146708,1.005127948762274,0
10095,Luke Singh,22,True,30000,1,0,4,1,No,Yes,No,3,Bachelor's,HR,HR Manager,3.5704485950043647,8.100147141438502,0
10096,Luke Taylor,33,True,88725,0,4,1,2,No,Yes,Yes,3,Master's,HR,HR Manager,10.0,1.0,0
10097,Ananya Johnson,41,True,50045,0,8,4,1,No,Yes,Yes,3,High School,Engineering,DevOps Engineer,3.9852122728291075,1.0,0
10098,John Walker,45,False,62689,1,6,5,1,No,No,Yes,3,High School,HR,HR Executive,6.257822293803179,7.587046674596891,0
10099,Linda Davis,34,False,50699,3,8,7,1,No,Yes,Yes,2,Diploma,R&D,Researcher,10.0,1.0714137766614362,0
10100,Rohit Johnson,26,True,30000,0,0,7,1,Yes,Yes,No,3,Bachelor's,Operations,Operations Coordinator,2.1000989485810715,1.0,0
10101,Vikram Johnson,48,True,34831,0,24,7,3,No,No,Yes,3,Bachelor's,Sales,Sales Manager,9.047096867971286,1.6452825422538666,0
10102,Ananya Sharma,41,True,72082,0,0,13,0,No,Yes,Yes,3,Bachelor's,Support,Customer Specialist,10.0,4.344740200463065,0
10103,Aisha Thompson,36,False,62830,3,5,7,1,Yes,Yes,No,3,Master's,HR,HR Executive,7.797399590219013,3.3891777814348942,0
10104,Linda Davis,25,True,61547,1,0,8,0,No,No,Yes,2,Bachelor's,R&D,Scientist,2.513142733186312,3.730022002678796,0
10105,Priya Miller,32,True,46150,1,5,13,2,Yes,Yes,No,3,High School,HR,HR Manager,4.70704233981508,5.794765876976031,0
10106,Sophia Gupta,33,True,30000,1,11,3,0,No,Yes,Yes,3,PhD,HR,HR Manager,1.0,1.0,0
10107,Ananya Kumar,24,False,30220,1,0,10,3,Yes,No,Yes,3,Master's,Support,Support Engineer,1.0948943126776527,10.0,0
10108,Vikram Patel,35,False,30000,2,7,11,3,No,Yes,No,3,Diploma,Support,Support Engineer,4.21648109238181,2.9406077049322787,0
10109,Aisha Wilson,32,True,81983,2,0,1,2,No,Yes,Yes,3,Bachelor's,Engineering,DevOps Engineer,9.606620861457385,1.5127594697331141,0
10110,Karen Lewis,57,True,91663,3,22,3,2,No,Yes,Yes,4,Master's,Operations,Operations Coordinator,10.0,5.8272935766281675,0
10111,John Singh,55,False,75664,0,32,6,2,No,Yes,Yes,3,Bachelor's,Operations,Ops Manager,1.7674014110545055,10.0,0
10112,Emily Johnson,20,False,48455,1,0,12,1,No,Yes,Yes,4,Diploma,HR,HR Manager,3.0321153165435506,5.616649561774327,0
10113,John Anderson,19,False,68755,0,0,0,2,No,Yes,Yes,3,Master's,Support,Customer Specialist,7.881125561821835,1.0,0
10114,Vikram Taylor,29,True,71821,0,4,8,0,No,Yes,Yes,3,High School,HR,HR Executive,10.0,5.749351570998828,0
10115,John Williams,31,False,65835,2,0,10,2,No,Yes,Yes,4,Bachelor's,Support,Customer Specialist,5.960456855596858,5.404744712567494,0
10116,Sarah Williams,43,False,30000,1,7,13,1,Yes,Yes,Yes,3,Bachelor's,Engineering,ML Engineer,5.20923875079194,1.0,0
10117,Arun Miller,28,False,80248,3,0,4,0,No,Yes,Yes,3,Bachelor's,Sales,Account Executive,5.811985908184109,10.0,0
10118,Priya Thomas,38,False,46923,3,5,2,0,No,Yes,Yes,4,Diploma,Finance,Senior Analyst,1.9789788454312767,4.716935113989077,0
10119,Daniel Walker,18,True,55390,1,0,3,3,No,Yes,No,5,Master's,Support,Support Engineer,6.441500877583666,6.147546329408386,0
10120,Sarah Taylor,36,False,42286,0,9,11,2,No,No,Yes,3,Bachelor's,Engineering,DevOps Engineer,6.656560251263681,6.412955582464013,0
10121,Linda Iyer,43,False,30000,0,4,6,3,Yes,Yes,Yes,5,Bachelor's,Sales,Sales Manager,1.6613864974747177,1.0,0
10122,Linda Williams,37,False,45043,2,0,0,2,No,Yes,Yes,5,PhD,Support,Customer Specialist,5.8508924522027215,6.822641314632136,0
10123,Vikram Anderson,26,False,30000,0,0,9,2,No,No,Yes,3,Bachelor's,Operations,Ops Manager,2.3031636691658974,5.346582079362216,0
10124,Nina Thompson,48,False,72469,1,24,8,3,No,Yes,Yes,5,Master's,HR,HR Executive,10.0,4.4544050830764865,0
10125,Nina Williams,27,False,30000,0,6,1,1,Yes,Yes,No,4,Diploma,R&D,Scientist,4.530629897107213,3.7833883185283916,0
10126,David Gupta,37,True,92102,0,0,6,1,Yes,Yes,No,3,Diploma,R&D,Researcher,10.0,6.1734940175205315,0
10127,Luke Walker,37,True,124608,3,6,10,0,No,No,Yes,4,Bachelor's,Sales,Account Executive,10.0,10.0,0
10128,Priya Walker,30,False,102863,0,7,4,3,Yes,Yes,Yes,4,Bachelor's,R&D,Researcher,7.048788095879093,7.592446736887966,0
10129,Linda Taylor,33,False,30000,0,6,3,0,No,Yes,Yes,3,Master's,Operations,Operations Coordinator,10.0,4.972400688792134,0
10130,Emily Wilson,25,False,48820,0,0,10,3,No,Yes,Yes,3,Diploma,Engineering,Software Engineer,8.662439563371182,6.556093781781614,0
10131,Leo Williams,27,False,86237,2,6,2,3,Yes,Yes,Yes,2,Bachelor's,Operations,Operations Coordinator,10.0,3.1316504930475597,0
10132,David Thompson,29,False,30000,0,0,6,3,No,Yes,Yes,1,Bachelor's,HR,HR Executive,3.3126935737783345,6.926989626124051,0
10133,Daniel Sharma,38,True,81909,1,17,6,3,No,Yes,Yes,2,Bachelor's,Operations,Ops Manager,7.493818941246714,3.8206227226868634,0
10134,Kiran Williams,20,True,38039,1,0,10,3,Yes,Yes,Yes,3,Diploma,Operations,Operations Coordinator,2.7462620419424164,5.712189421253921,0
10135,Ananya Walker,51,False,35305,0,19,7,3,No,Yes,Yes,5,Diploma,R&D,Scientist,1.0775374037494396,1.0,0
10136,Emily Wilson,35,True,87673,1,12,0,3,No,Yes,Yes,3,Diploma,HR,HR Executive,2.6829392812283333,7.573473449570211,0
10137,Daniel Sharma,25,True,30000,0,38,7,2,No,Yes,Yes,4,Bachelor's,Sales,Sales Manager,3.2816567921282243,1.0556576158787685,1
10138,Priya Lewis,25,True,74783,0,0,14,0,Yes,Yes,Yes,4,Diploma,Engineering,ML Engineer,6.2036474863542015,8.91420296443048,0
10139,Daniel Lewis,37,False,30000,1,12,7,3,No,Yes,Yes,3,Bachelor's,HR,HR Manager,3.2313166975921424,8.531193930896855,0
10140,Sophia Sharma,35,False,77683,0,8,6,2,Yes,Yes,Yes,3,Master's,Engineering,DevOps Engineer,7.465967678934201,2.984014948612737,0
10141,Olivia Sharma,21,False,64992,2,0,11,3,No,Yes,Yes,3,Bachelor's,HR,HR Executive,1.0,10.0,0
10142,David Thomas,31,False,56731,2,10,9,1,No,Yes,Yes,5,Bachelor's,HR,HR Manager,10.0,2.0381393049920375,0
10143,Leo Taylor,24,False,53302,3,0,9,2,Yes,Yes,Yes,3,Diploma,Finance,Senior Analyst,4.357843564193788,1.0,0
10144,Luke Thomas,31,True,95078,2,6,12,2,No,Yes,No,3,Diploma,Support,Customer Specialist,2.4641697269922176,4.380751163387225,0
10145,Nina Miller,26,True,107614,0,3,9,2,No,Yes,Yes,3,High School,Finance,Analyst,10.0,4.200103918954969,0
10146,Nina Johnson,26,True,30000,0,0,8,3,No,Yes,Yes,3,Bachelor's,Operations,Ops Manager,1.0,1.9038382509252818,0
10147,Rohit Williams,19,True,100101,0,0,5,3,Yes,No,No,3,Bachelor's,HR,HR Manager,10.0,1.0,0
10148,Luke Thompson,25,True,80489,1,0,4,1,No,Yes,Yes,4,Diploma,Engineering,Software Engineer,9.651526214135785,4.395353066628882,0
10149,Karen Sharma,35,True,30000,0,13,5,1,Yes,Yes,No,3,Bachelor's,R&D,Scientist,3.0115450690073793,3.3431880260560343,0
10150,Priya Singh,47,True,44289,2,21,5,2,No,Yes,No,3,Bachelor's,Support,Support Engineer,10.0,1.0,0
10151,Luke Wilson,41,True,49731,1,14,8,2,No,Yes,Yes,2,Bachelor's,HR,HR Manager,2.96719041703206,10.0,0
10152,Priya Walker,28,False,30000,0,0,2,3,Yes,Yes,Yes,4,Bachelor's,Finance,Analyst,1.0,6.730455854935336,0
10153,Aisha Thompson,30,True,100007,3,2,4,2,Yes,Yes,No,4,Diploma,Engineering,DevOps Engineer,5.033884133173442,4.486492428920713,0
10154,Rohit Davis,49,True,34358,1,14,1,2,No,Yes,Yes,3,PhD,Operations,Ops Manager,2.3021721703684808,1.0045391365612009,0
10155,Rohit Brown,30,True,30000,3,4,1,0,No,Yes,Yes,4,Bachelor's,Finance,Analyst,5.677698771686787,5.39002925469971,0
10156,Arun Miller,33,False,43136,3,7,6,2,No,Yes,Yes,4,Bachelor's,Engineering,ML Engineer,7.0977327678923,5.902508155923064,0
10157,Emily Iyer,42,True,48739,0,18,9,3,Yes,No,Yes,5,Diploma,HR,HR Manager,6.080262154514906,7.013262618670484,0
10158,Leo Johnson,18,False,30000,3,0,6,1,No,Yes,Yes,4,Bachelor's,HR,HR Manager,4.137847129747118,6.221524968516905,0
10159,Karen Sharma,28,True,58456,2,0,4,0,No,Yes,Yes,2,High School,Support,Customer Specialist,7.233986709360792,3.842445593873109,0
10160,Priya Taylor,36,True,30000,0,6,1,1,No,Yes,Yes,3,Bachelor's,Sales,Sales Manager,4.164685349638793,4.913602719679972,0
10161,Olivia Taylor,57,False,82264,1,16,2,1,No,Yes,Yes,3,High School,HR,HR Executive,6.692208911171896,10.0,0
10162,Rohit Davis,45,True,96912,1,22,0,1,No,Yes,No,3,Master's,Operations,Ops Manager,6.0840480344752725,1.0,0
10163,Vikram Williams,47,False,30000,1,22,6,1,Yes,Yes,Yes,3,Bachelor's,Support,Customer Specialist,2.286609805825254,1.0,0
10164,Arun Singh,25,True,61207,0,0,3,1,No,Yes,Yes,2,Bachelor's,HR,HR Manager,10.0,6.111678758906341,0
10165,Arun Brown,32,False,30000,1,0,6,3,No,Yes,Yes,3,High School,HR,HR Manager,8.147998938377926,2.121730431337103,0
10166,Daniel Gupta,30,True,63086,3,7,14,1,No,Yes,Yes,4,Bachelor's,Operations,Ops Manager,7.664084417988425,6.521236022464448,0
10167,Arun Walker,36,True,30000,3,7,8,0,No,Yes,No,3,Diploma,HR,HR Manager,7.914813805778806,2.246455461422026,0
10168,Linda Davis,27,True,269708,3,0,2,0,Yes,Yes,Yes,3,Bachelor's,Sales,Sales Manager,9.326463100790985,6.62915009779783,1
10169,Michael Singh,45,False,56380,2,22,13,3,Yes,Yes,Yes,4,Diploma,R&D,Scientist,1.0,9.530351806658924,0
10170,Sarah Singh,26,False,30000,2,3,0,1,No,No,Yes,4,Bachelor's,Sales,Account Executive,10.0,5.589954593764604,0
10171,Olivia Miller,55,True,52042,1,24,14,3,No,Yes,No,3,Master's,Engineering,Software Engineer,4.59473292747775,1.0,0
10172,John Singh,54,True,44832,0,32,1,1,No,Yes,Yes,3,Bachelor's,HR,HR Executive,4.9072770220910895,6.400539909247555,0
10173,Arun Kumar,39,True,92146,0,17,12,0,Yes,Yes,Yes,3,Bachelor's,Sales,Account Executive,3.6398241414301173,4.512105313229689,0
10174,Leo Walker,41,True,45848,1,11,14,3,No,Yes,Yes,4,High School,HR,HR Manager,2.523889884251454,6.093157252559621,0
10175,Ananya Thompson,32,False,88249,1,0,11,0,No,Yes,Yes,4,High School,Sales,Sales Manager,7.545891339106464,4.394109761137275,0
10176,Rohit Sharma,33,False,30000,3,12,6,1,No,Yes,Yes,3,Diploma,Finance,Senior Analyst,3.7688938297642975,1.0822214359756455,0
10177,Michael Taylor,19,False,57466,1,0,14,3,No,Yes,Yes,3,Master's,Sales,Account Executive,10.0,4.809270729074153,0
10178,Luke Thomas,42,False,30000,1,19,11,1,No,No,No,3,Diploma,HR,HR Executive,5.017611353944966,1.2451956642073307,1
10179,David Miller,21,True,38423,1,0,10,0,No,Yes,No,3,Master's,R&D,Scientist,1.512480264122102,3.846834347069136,0
10180,Arun Wilson,19,True,30000,3,0,5,0,No,Yes,Yes,4,Master's,Finance,Senior Analyst,2.3701870420640097,1.0,0
10181,Leo Gupta,32,False,40615,0,0,1,0,No,Yes,No,2,Bachelor's,Finance,Senior Analyst,9.404204886830042,3.142369912664604,0
10182,Leo Iyer,19,True,52017,0,0,4,2,No,Yes,No,1,Bachelor's,Sales,Account Executive,5.4389839535004185,7.326793187824814,0
10183,Ananya Kumar,18,False,39269,2,0,14,0,No,Yes,Yes,1,Bachelor's,R&D,Researcher,5.228106338636822,1.0,0
10184,Linda Miller,41,False,30000,2,6,2,0,No,Yes,Yes,4,Bachelor's,Sales,Account Executive,1.661557883656931,1.3322178885247795,0
10185,Vikram Thomas,32,True,119944,1,6,2,2,No,Yes,Yes,3,Diploma,Operations,Operations Coordinator,10.0,4.936117237243932,0
10186,Nina Walker,51,True,58338,1,26,13,0,Yes,Yes,Yes,4,Bachelor's,Engineering,ML Engineer,7.384621317436271,1.0477173087036675,0
10187,Luke Thompson,32,True,43999,0,0,3,1,No,Yes,Yes,3,Bachelor's,HR,HR Executive,10.0,8.46513637289909,0
10188,Karen Kumar,29,True,33587,3,6,0,1,No,Yes,Yes,2,Diploma,Operations,Operations Coordinator,4.133275842911224,1.0,0
10189,Sophia Taylor,35,False,36242,0,7,11,0,Yes,Yes,Yes,2,Master's,Sales,Sales Manager,7.940815917051447,1.0466109277989242,0
10190,Kiran Brown,30,False,30000,1,1,6,0,No,Yes,No,3,Bachelor's,R&D,Scientist,3.4401124637032803,1.0,0
10191,Nina Miller,27,False,59070,0,0,9,2,No,Yes,Yes,2,Bachelor's,Support,Customer Specialist,10.0,4.160021490726052,0
10192,Leo Thompson,36,False,30000,1,10,3,0,No,Yes,Yes,2,Bachelor's,HR,HR Manager,10.0,3.9546762155095916,0
10193,Priya Johnson,35,True,152116,0,0,10,0,No,No,No,3,Bachelor's,R&D,Researcher,10.0,8.033229111134704,0
10194,Emily Sharma,38,True,30000,2,1,10,1,No,Yes,Yes,3,High School,Support,Customer Specialist,3.8631024110750536,1.0,0
10195,Nina Wilson,41,True,105734,0,13,6,2,Yes,No,No,4,Master's,Support,Support Engineer,5.488089172312728,3.0219721110897724,0
10196,Arun Brown,37,True,94257,3,0,3,1,No,Yes,Yes,4,Master's,Support,Customer Specialist,10.0,1.832437711579677,0
